Deaths,Casesper10k,Casesper100k,County,Total,PctPos
937,986,9861,Mecklenburg,109487,NA
419,1162,11616,Gaston,26082,NA
87,616,6157,Chatham,4585,NA
152,629,6290,Brunswick,8983,NA
210,999,9992,Johnston,20917,NA
158,852,8518,Henderson,10002,NA
241,889,8893,Wayne,10950,NA
80,827,8274,Pasquotank,3295,NA
152,1084,10844,Burke,9812,NA
251,987,9871,Cabarrus,21365,NA
112,1043,10433,Lenoir,5837,NA
300,1163,11627,Rowan,16521,NA
298,1183,11829,Catawba,18873,NA
80,969,9690,Granville,5857,NA
28,702,7016,Polk,1454,NA
150,1128,11283,Columbus,6263,NA
85,1139,11386,Lincoln,9805,NA
9,731,7309,Perquimans,984,NA
104,1120,11200,Caldwell,9204,NA
131,1221,12211,Stanly,7669,NA
13,629,6288,Gates,727,NA
86,1093,10933,Vance,4869,NA
228,1239,12390,Robeson,16184,NA
110,955,9554,Wilkes,6536,NA
20,897,8971,Warren,1770,NA
32,667,6674,Transylvania,2295,NA
10,561,5615,Dare,2078,NA
55,1031,10313,Anson,2521,NA
31,801,8005,Watauga,4497,NA
12,688,6883,Graham,581,NA
6,792,7918,Tyrrell,318,NA
16,544,5442,Currituck,1511,NA
0,NA,NA,Missing,1,NA
132,1052,10517,Duplin,6178,NA
677,861,8614,Guilford,46271,NA
218,767,7674,Durham,24671,NA
108,1229,12287,Sampson,7806,NA
185,962,9622,Davidson,16128,NA
720,770,7704,Wake,85652,NA
43,920,9205,Bertie,1744,NA
224,1031,10313,Randolph,14817,NA
63,877,8768,Hertford,2076,NA
142,831,8310,Onslow,16448,NA
63,1131,11308,McDowell,5174,NA
49,950,9497,Franklin,6618,NA
101,569,5692,Orange,8451,NA
93,1210,12104,Montgomery,3289,NA
313,664,6642,Buncombe,17349,NA
205,1072,10722,Rutherford,7187,NA
37,932,9317,Davie,3992,NA
123,898,8975,Craven,9167,NA
84,1064,10640,Scotland,3705,NA
39,992,9920,Martin,2226,NA
92,1022,10217,Richmond,4580,NA
35,843,8428,Macon,3022,NA
67,838,8382,Person,3310,NA
83,1153,11529,Alexander,4323,NA
16,937,9369,Mitchell,1402,NA
13,876,8762,Pamlico,1115,NA
22,1038,10378,Chowan,1447,NA
41,707,7065,Madison,1537,NA
164,801,8009,New Hanover,18779,NA
172,1165,11650,Wilson,9530,NA
299,826,8262,Cumberland,27719,NA
58,955,9552,Northampton,1861,NA
55,830,8297,Hoke,4583,NA
18,645,6446,Clay,724,NA
111,1055,10551,Edgecombe,5431,NA
76,953,9532,Lee,5889,NA
157,1124,11238,Surry,8067,NA
109,1099,10992,Halifax,5497,NA
19,868,8685,Jones,818,NA
106,810,8099,Rockingham,7371,NA
5,902,9024,Alleghany,1005,NA
27,945,9450,Caswell,2136,NA
41,761,7609,Ashe,2070,NA
44,1078,10784,Greene,2272,NA
95,686,6860,Haywood,4275,NA
80,865,8646,Stokes,3942,NA
18,846,8458,Swain,1207,NA
20,1191,11910,Avery,2091,NA
28,875,8750,Yancey,1581,NA
215,996,9957,Union,23882,NA
20,863,8633,Cherokee,2470,NA
372,919,9187,Forsyth,35123,NA
264,1046,10464,Alamance,17737,NA
206,1009,10092,Iredell,18347,NA
86,1061,10613,Pitt,19183,NA
47,1042,10423,Yadkin,3926,NA
51,724,7245,Carteret,5033,NA
224,1152,11519,Cleveland,11283,NA
187,866,8656,Moore,8732,NA
169,827,8274,Harnett,11250,NA
181,1195,11945,Nash,11264,NA
31,908,9085,Washington,1052,NA
95,961,9605,Beaufort,4514,NA
55,812,8123,Jackson,3569,NA
69,837,8373,Pender,5280,NA
41,981,9813,Bladen,3211,NA
5,599,5991,Camden,651,NA
8,1343,13429,Hyde,663,NA
